0.106,0.1,0.1,0.101,0.102
0.108,0.102,0.102,0.104,0.104
0.111,0.104,0.104,0.106,0.106
0.113,0.106,0.106,0.108,0.108
0.115,0.107,0.107,0.109,0.11
0.117,0.109,0.109,0.111,0.111
0.119,0.111,0.111,0.113,0.113
0.12,0.112,0.112,0.114,0.114
0.122,0.114,0.114,0.116,0.116
0.124,0.115,0.115,0.117,0.117
0.125,0.116,0.116,0.118,0.118
0.127,0.117,0.117,0.12,0.12
0.128,0.119,0.119,0.121,0.12
0.129,0.12,0.12,0.122,0.122
0.13,0.121,0.121,0.123,0.123
0.131,0.122,0.122,0.124,0.124
0.132,0.123,0.123,0.125,0.125
0.133,0.124,0.124,0.126,0.126
0.135,0.125,0.125,0.127,0.127
0.136,0.126,0.126,0.128,0.128
