0.102,0.102,0.095,0.102,0.098
0.105,0.105,0.097,0.104,0.1
0.108,0.107,0.099,0.107,0.102
0.11,0.109,0.101,0.109,0.104
0.112,0.111,0.103,0.111,0.105
0.113,0.113,0.105,0.113,0.107
0.115,0.115,0.106,0.115,0.109
0.117,0.116,0.108,0.116,0.11
0.118,0.118,0.109,0.118,0.111
0.12,0.12,0.11,0.119,0.113
0.121,0.121,0.112,0.121,0.114
0.122,0.122,0.113,0.122,0.115
0.123,0.123,0.114,0.123,0.116
0.125,0.125,0.115,0.125,0.117
0.126,0.126,0.116,0.126,0.118
0.127,0.127,0.117,0.127,0.119
0.128,0.128,0.118,0.128,0.12
0.129,0.129,0.119,0.129,0.121
0.13,0.131,0.12,0.131,0.122
0.131,0.132,0.121,0.131,0.123
