0.095,0.099,0.096,0.103,0.095
0.097,0.1,0.097,0.105,0.096
0.098,0.101,0.098,0.106,0.097
0.099,0.102,0.099,0.106,0.098
0.1,0.103,0.1,0.108,0.099
0.101,0.104,0.101,0.108,0.1
0.102,0.105,0.102,0.11,0.101
0.103,0.105,0.103,0.11,0.102
0.104,0.106,0.104,0.111,0.102
0.105,0.107,0.105,0.112,0.103
0.105,0.108,0.106,0.113,0.104
0.106,0.109,0.106,0.114,0.105
0.107,0.11,0.107,0.115,0.105
0.108,0.11,0.108,0.116,0.106
0.109,0.111,0.109,0.117,0.107
0.109,0.112,0.11,0.117,0.107
0.11,0.112,0.111,0.118,0.108
0.111,0.113,0.112,0.119,0.109
0.112,0.114,0.112,0.119,0.11
0.112,0.115,0.113,0.12,0.11
