0.1,0.101,0.102,0.097,0.1
0.103,0.104,0.105,0.1,0.102
0.106,0.106,0.107,0.102,0.103
0.108,0.109,0.109,0.104,0.105
0.11,0.111,0.112,0.106,0.107
0.112,0.113,0.114,0.107,0.108
0.114,0.115,0.115,0.109,0.11
0.115,0.117,0.117,0.11,0.111
0.117,0.119,0.119,0.112,0.112
0.118,0.12,0.12,0.113,0.114
0.12,0.122,0.122,0.114,0.115
0.121,0.123,0.123,0.116,0.116
0.122,0.125,0.124,0.117,0.117
0.123,0.126,0.126,0.118,0.118
0.124,0.127,0.127,0.119,0.119
0.126,0.128,0.128,0.12,0.12
0.126,0.129,0.129,0.121,0.121
0.128,0.13,0.13,0.122,0.122
0.129,0.131,0.131,0.123,0.122
0.13,0.133,0.132,0.124,0.123
