0.102,0.1,0.098,0.097,0.098
0.104,0.102,0.1,0.099,0.1
0.106,0.104,0.102,0.101,0.101
0.108,0.106,0.103,0.102,0.102
0.109,0.107,0.104,0.104,0.103
0.111,0.109,0.106,0.105,0.104
0.112,0.11,0.107,0.106,0.105
0.114,0.111,0.109,0.108,0.106
0.115,0.113,0.109,0.109,0.107
0.116,0.114,0.111,0.11,0.108
0.117,0.115,0.112,0.111,0.109
0.118,0.116,0.113,0.112,0.11
0.119,0.117,0.114,0.113,0.11
0.12,0.118,0.115,0.114,0.111
0.121,0.119,0.116,0.115,0.112
0.123,0.12,0.117,0.116,0.113
0.124,0.121,0.118,0.117,0.113
0.124,0.122,0.119,0.118,0.114
0.128,0.123,0.12,0.118,0.114
0.126,0.124,0.121,0.119,0.115
