0.095,0.097,0.095,0.093,0.096
0.096,0.098,0.096,0.094,0.096
0.097,0.098,0.096,0.095,0.096
0.097,0.098,0.097,0.095,0.096
0.098,0.099,0.097,0.096,0.096
0.099,0.099,0.097,0.096,0.096
0.099,0.1,0.098,0.096,0.097
0.1,0.1,0.098,0.097,0.097
0.1,0.1,0.098,0.098,0.098
0.1,0.1,0.099,0.098,0.098
0.101,0.1,0.099,0.098,0.098
0.102,0.101,0.099,0.098,0.098
0.102,0.101,0.099,0.1,0.098
0.103,0.101,0.099,0.1,0.098
0.103,0.101,0.1,0.099,0.099
0.104,0.101,0.1,0.099,0.099
0.104,0.102,0.1,0.101,0.099
0.104,0.102,0.1,0.101,0.099
0.104,0.102,0.1,0.099,0.1
0.104,0.102,0.101,0.099,0.1
